,date,id,link,retweet,text,author
31,Sep-30,7.8202E+17,/realDonaldTrump/status/782020266771812352,FALSE,I believe in #AmericaFirst and that means FAMILY FIRST! My childcare plan reflects the needs of modern working-class families. #ImWithYoupic.twitter.com/K2Mc41OfAT,DonaldTrump
32,Sep-30,7.81926E+17,/realDonaldTrump/status/781926033159249920,FALSE,"For those few people knocking me for tweeting at three o'clock in the morning, at least you know I will be there, awake, to answer the call!",DonaldTrump
33,Sep-30,7.81923E+17,/realDonaldTrump/status/781922648645185536,FALSE,"Why isn't Hillary 50 points ahead? Maybe it's the email scandal, policies that spread ISIS, or calling millions of Americans deplorables!pic.twitter.com/cvaMSAnAnE",DonaldTrump
34,Sep-30,7.81862E+17,/realDonaldTrump/status/781861632167256064,FALSE,The people are really smart in cancelling subscriptions to the Dallas & Arizona papers & now USA Today will lose readers! The people get it!,DonaldTrump
35,Sep-30,7.81839E+17,/realDonaldTrump/status/781838706030313472,FALSE,"Remember, don't believe ""sources said"" by the VERY dishonest media. If they don't name the sources, the sources don't exist.",DonaldTrump
36,Sep-30,7.81784E+17,/realDonaldTrump/status/781784161044553728,FALSE,"Wow, Crooked Hillary was duped and used by my worst Miss U. Hillary floated her as an ""angel"" without checking her past, which is terrible!",DonaldTrump
37,Sep-30,7.81755E+17,/realDonaldTrump/status/781755469488615424,FALSE,"Anytime you see a story about me or my campaign saying ""sources said,"" DO NOT believe it. There are no sources, they are just made up lies!",DonaldTrump
38,Sep-29,7.81679E+17,/realDonaldTrump/status/781678954570735616,FALSE,"Wow, did you see how badly @CNN (Clinton News Network) is doing in the ratings. With people like @donlemon, who could expect any more?",DonaldTrump
39,Sep-29,7.81619E+17,/realDonaldTrump/status/781619038699094016,FALSE,"While Hillary profits off the rigged system, I am fighting for you! Remember the simple phrase: #FollowTheMoney https://www.facebook.com/DonaldTrump/videos/10157784190830725/ …pic.twitter.com/rJXAzsaIwI",DonaldTrump
40,Sep-29,7.81556E+17,/realDonaldTrump/status/781555624446418944,FALSE,My condolences to those involved in today's horrible accident in NJ and my deepest gratitude to all of the amazing first responders.,DonaldTrump
41,Sep-28,7.81111E+17,/realDonaldTrump/status/781111479974199296,FALSE,"Every on-line poll, Time Magazine, Drudge etc., has me winning the debate. Thank you to Fox & Friends for so reporting!",DonaldTrump
42,Sep-27,7.80954E+17,/realDonaldTrump/status/780954455504199680,FALSE,My supporters are the best! $18 million from hard-working people who KNOW what we can be again! Shatter the record:http://bit.ly/shatterrecords ,DonaldTrump
43,Sep-27,7.80936E+17,/realDonaldTrump/status/780935820299599872,FALSE,"Unbelievable evening in Melbourne, Florida w/ 15,000 supporters- and an additional 12,000 who could not get in. Thank you! #TrumpTrain #MAGApic.twitter.com/2N3Xq7AGmx",DonaldTrump
44,Sep-27,7.80859E+17,/realDonaldTrump/status/780859319319400448,FALSE,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYoupic.twitter.com/vxWZ2tyJTF,DonaldTrump
45,Sep-27,7.80854E+17,/realDonaldTrump/status/780853860135006211,FALSE,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",DonaldTrump
46,Sep-27,7.80826E+17,/realDonaldTrump/status/780826236213927937,FALSE,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",DonaldTrump
47,Sep-27,7.80782E+17,/realDonaldTrump/status/780781898071207940,FALSE,Thank you! #TrumpWon #MAGAhttp://www.dailymail.co.uk/news/article-3809204/Most-snap-polls-Trump-winning-debate-landslide.html …,DonaldTrump
48,Sep-27,7.80781E+17,/realDonaldTrump/status/780781327050235905,FALSE,Hillary's been failing for 30 years in not getting the job done - it will never change.,DonaldTrump
49,Sep-27,7.80758E+17,/realDonaldTrump/status/780758306239512577,FALSE,The #1 trend on Twitter right now is #TrumpWon - thank you!,DonaldTrump
50,Sep-27,7.80758E+17,/realDonaldTrump/status/780757611914391552,FALSE,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,DonaldTrump
51,Sep-27,7.80753E+17,/realDonaldTrump/status/780752731418009600,FALSE,'How Trump won over a bar full of undecideds and Democrats'http://nypost.com/2016/09/26/the-best-debate-takes-come-from-inside-the-bar/ …,DonaldTrump
52,Sep-27,7.80752E+17,/realDonaldTrump/status/780752274020761601,FALSE,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,DonaldTrump
53,Sep-27,7.80656E+17,/realDonaldTrump/status/780656338628145153,FALSE,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE & GREAT AGAIN!
http://www.DonaldJTrump.com pic.twitter.com/Yl2XShopEv",DonaldTrump
54,Sep-27,7.80647E+17,/realDonaldTrump/status/780646830090641408,FALSE,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today & lets #MAGA! http://www.DonaldJTrump.com pic.twitter.com/jV2pwNjWC2",DonaldTrump
55,Sep-27,7.80638E+17,/realDonaldTrump/status/780637633890451456,FALSE,".@newtgingrich just said ""a historic victory for Trump."" NICE!",DonaldTrump
56,Sep-26,7.80627E+17,/realDonaldTrump/status/780626558176333824,FALSE,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",DonaldTrump
57,Sep-26,7.80618E+17,/realDonaldTrump/status/780618351601192960,FALSE,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst #Debates2016https://twitter.com/mike_pence/status/780615043809435649 …",DonaldTrump
58,Sep-26,7.80618E+17,/realDonaldTrump/status/780617562476441601,FALSE,"Thank you Senator @TedCruz!
#Debates2016 #MAGApic.twitter.com/cgO6109USJ",DonaldTrump
59,Sep-26,7.80595E+17,/realDonaldTrump/status/780594918616162304,FALSE,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.",DonaldTrump
60,Sep-26,7.80594E+17,/realDonaldTrump/status/780594362862362624,FALSE,"Hillary Clinton failed all over the world. 
LIBYA
SYRIA
IRAN
IRAQ
ASIA PIVOT
RUSSIAN RESET
BENGHAZI
#DebateNightpic.twitter.com/e70AtE6lNR",DonaldTrump
61,Sep-26,7.80586E+17,/realDonaldTrump/status/780585742850555904,FALSE,I will stand with police and protect ALL Americans! #Debates2016 #MAGApic.twitter.com/CX4oEWgEMp,DonaldTrump
62,Sep-26,7.80582E+17,/realDonaldTrump/status/780581933176778752,FALSE,"This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action. #Debates2016",DonaldTrump
63,Sep-26,7.80581E+17,/realDonaldTrump/status/780581215820591104,FALSE,HILLARY'S BAD TAX HABIT!pic.twitter.com/x3FBy8Hdq2,DonaldTrump
64,Sep-26,7.8058E+17,/realDonaldTrump/status/780579923295600640,FALSE,.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016,DonaldTrump
65,Sep-26,7.80569E+17,/realDonaldTrump/status/780569413321789440,FALSE,"Why isn't Hillary Clinton 50 points ahead?
#DebateNightpic.twitter.com/iux7icIkaT",DonaldTrump
66,Sep-26,7.80535E+17,/realDonaldTrump/status/780535389853458432,FALSE,"My team of deplorables will be managing my Twitter account for this evenings debate. Tune in!
#DebateNight #TrumpPence16",DonaldTrump
67,Sep-26,7.80377E+17,/realDonaldTrump/status/780377077518364673,FALSE,"New national Bloomberg poll just released - thank you! Join the MOVEMENT: http://www.DonaldJTrump.com . 
#TrumpTrain #MAGApic.twitter.com/4kQX4pmt0I",DonaldTrump
68,Sep-25,7.80214E+17,/realDonaldTrump/status/780213717082529792,FALSE,"Really sad news: The great Arnold Palmer, the ""King,"" has died. There was no-one like him - a true champion! He will be truly missed.",DonaldTrump
69,Sep-25,7.802E+17,/realDonaldTrump/status/780199873979219968,FALSE,Five people killed in Washington State by a Middle Eastern immigrant. Many people died this weekend in Ohio from drug overdoses. N.C. riots!,DonaldTrump
