date,retweet,text,author
2016-09-07,False,Rising sea levels are already flooding homes and roads along Americas coasts. The time to #ActOnClimate is now.http//ofa.bo/2bUKt3i,BarackObama
2016-09-07,False,The process is clear. The Supreme Court and American people are waiting for Senate leaders to get to work.,BarackObama
2016-09-06,False,"Conservation not only protects diverse lands and species, its also an important part of battling climate change.http//ofa.bo/2c1ui1v",BarackObama
2016-09-02,False,Unemployment Deficits Uninsured rate Jobs 15.1 million,BarackObama
2016-09-02,False,"Its been a long road, but were far better off than we were eight years ago.",BarackObama
2016-09-02,False,"The economy added 151,000 jobs in Augustextending the longest streak of total job growth on record.",BarackObama
2016-09-01,False,"Recess is almost over, and editorial boards across the country are calling for Senate leaders to do their jobs.",BarackObama
2016-08-31,False,"The American people need their legislators to be dedicated to solutions, not obstruction. #DoYourJob",BarackObama
2016-08-30,False,"Summers almost over, Senate leaders. #DoYourJob",BarackObama
2016-08-29,False,Its not too late for Senate leaders to give Judge Garland a fair hearing and upordown vote. Say you agree.http//ofa.bo/2bx2xjL,BarackObama
2016-08-29,False,"Obstructionespecially when it comes to the Supreme Courtis nothing to be proud of, @SenateMajLdr. #DoYourJob",BarackObama
2016-08-26,False,President Obama continues his track record of protecting millions of acres of federal land and water. Take a lookhttp//ofa.bo/2bEv1XP,BarackObama
2016-08-26,False,Speaking up is the first step. Lets build on our progress one conversation at a time. #WomensEqualityDay,BarackObama
2016-08-26,False,"Weve come a long way, but theres still more to do to make sure women are truly treated equally. #WomensEqualityDay",BarackObama
2016-08-25,False,"These are our American cathedrals, and they belong to you. Jonathan B. Jarvis, director of the @NatlParkServicehttp//ofa.bo/2bJTZFC",BarackObama
2016-08-25,False,"Happy 100th birthday, @NatlParkService. Heres to the next 100. #NPS100",BarackObama
2016-08-24,False,This is nothing more than shameless partisanship. The Supreme Court should be held in higher regard. #DoYourJob,BarackObama
2016-08-24,False,"Rhode Island just built Americas first offshore wind farm, which will create clean energy and fight climate change.http//ofa.bo/2biiBG4",BarackObama
2016-08-24,False,Americas leadership in the fight against climate change pays off in more ways than one. #ActOnClimate,BarackObama
2016-08-22,False,The Supreme Court isnt some partisan football to be kicked around. Senate leaders should stop treating it like one.,BarackObama
2016-08-20,False,Weve protected more than 265 million acres of public lands and waters. President Obamahttp//ofa.bo/2bEPI3X,BarackObama
2016-08-19,False,Climate change is not too big of a challenge to solve. Were making good headway. #ActOnClimate,BarackObama
2016-08-18,False,Each month just gives another data point that makes the evidence stronger that were changing the climate.http//ofa.bo/2bqW74M,BarackObama
2016-08-18,False,Fifteen months in a row of recordbreaking heat is a signal that cant be denied We need to #ActOnClimate.,BarackObama
2016-08-17,False,We shouldnt accept this as normal. #DisarmHate,BarackObama
2016-08-17,False,Doing nothing wont stop our countrys gun violence epidemic. Congress must act to #DisarmHate.,BarackObama
2016-08-16,False,Reminder Its the Senates job to fairly consider Supreme Court nominees. #DoYourJob,BarackObama
2016-08-15,False,"Today, thousands of young DREAMers are able to fully contribute to our communities and our economy.",BarackObama
2016-08-15,False,Its not too late. Senate leaders can still make this right and give Judge Garland an upordown vote.,BarackObama
2016-08-12,False,Lets be clear Senate leaders are playing political games with the Supreme Court. #DoYourJob,BarackObama
2016-08-12,False,Equality isnt a zerosum game.,BarackObama
2016-08-12,False,Five months is long enough. Its time for a fair hearing and an upordown vote.,BarackObama
2016-08-11,False,Being cynical is easy. Its having hope in the face of adversity thats hardbut essential.,BarackObama
2016-08-10,False,Weve accomplished so much as a movementand its thanks to the power of organizing.,BarackObama
2016-08-09,False,Judge Garland has now waited 146 days. Thats shamefuland irresponsible. #DoYourJob,BarackObama
2016-08-08,False,Americans across the country agree that we need bold action in the fight against climate change. #ActOnClimate,BarackObama
2016-08-06,False,Team USA reminds the world why America always sets the gold standard. President Obamahttp//ofa.bo/2auHwRO,BarackObama
2016-08-05,False,President Obama reflects on his experience as a feministand his hopes to continue building toward gender equality.http//ofa.bo/2aB6Lrl,BarackObama
2016-08-05,False,Todays jobs report underscores what we know to be true Americas economy is the strongest in the world.,BarackObama
2016-08-05,False,This is a good thing for American workers and businessesbut theres more work to do.,BarackObama
2016-08-05,False,Our economy is continuing its comeback. Lets keep up the progress.,BarackObama
2016-08-05,False,"The economy added 255,000 jobs in Julya recordbreaking 77 months of privatesector job growth.",BarackObama
2016-08-04,False,Keep that smile going strong. Wish President Obama a happy 55th birthday today http//ofa.bo/2aycNcd,BarackObama
2016-08-04,False,Make President Obamas last birthday in office extra special. Sign the card http//ofa.bo/2aTo9WO #TBT,BarackObama
2016-08-04,False,One last birthday as OrganizerinChief. Help make it a good onesign the card now http//ofa.bo/2axr4Gg,BarackObama
2016-08-03,False,Birthday game stronger. Wish President Obama a happy 55th. http//ofa.bo/2aV0WSg,BarackObama
2016-08-03,False,The Clean Power Plan will cut carbon pollution from power plants by 32 percent by 2030. #ActOnClimate,BarackObama
2016-08-03,False,Show President Obama some love on his 55th birthdaysign the birthday card. http//ofa.bo/2almPI6,BarackObama
2016-08-02,False,Step 1 Sign President Obamas birthday card. Step 2 Celebrate. http//ofa.bo/2asC8nW,BarackObama
2016-08-02,False,It has been a recordbreaking 139 days since Judge Garland was nominated and still no hearing or vote. #DoYourJob,BarackObama
2016-08-02,False,Supreme Court seats 9Current number of Justices 8Number of hearings/votes on President Obamas nominee 0http//ofa.bo/2aPJMW1,BarackObama
2016-08-01,False,"The Supreme Court still needs a ninth justice, but Senate leaders are still refusing to do their jobs. #DoYourJob",BarackObama
2016-07-30,False, Sign the card and wish President Obama a happy birthday.  http//ofa.bo/2azUsdv,BarackObama
2016-07-29,False,"Before their obstruction of President Obamas nominee, these six senators voted to confirm Judge Garland.",BarackObama
2016-07-29,False,Its been a recordbreaking 135 days since President Obama nominated Judge Garland. The obstruction must end.,BarackObama
2016-07-27,False,"Weve made a lot of progress, but theres still more work to do.",BarackObama
